ID,Games,NOC
1,1992 Summer,CHN
2,2012 Summer,CHN
3,1920 Summer,DEN
4,1900 Summer,DEN
5,1988 Winter,NED
5,1992 Winter,NED
5,1994 Winter,NED
6,1992 Winter,USA
6,1994 Winter,USA
7,1992 Winter,USA
7,1994 Winter,USA
8,1932 Summer,NED
9,2002 Winter,FIN
10,1952 Summer,FIN
11,1980 Winter,FIN
12,2000 Summer,FIN
13,1996 Summer,FIN
13,2000 Summer,FIN
14,1994 Winter,FIN
15,1912 Summer,FIN
15,1920 Summer,FIN
15,1924 Summer,FIN
16,2014 Winter,FIN
17,1948 Summer,FIN
17,1952 Summer,FIN
18,2000 Summer,FIN
19,1948 Summer,FIN
20,1992 Winter,NOR
20,1994 Winter,NOR
20,1998 Winter,NOR
20,2002 Winter,NOR
20,2006 Winter,NOR
21,2008 Summer,NOR
22,2016 Summer,ROU
23,2000 Summer,NOR
23,2004 Summer,NOR
24,1960 Winter,NOR
24,1964 Winter,NOR
25,1920 Summer,NOR
26,1984 Winter,NOR
27,1984 Summer,NED
28,1968 Summer,NOR
28,1972 Summer,NOR
29,1988 Summer,NED
30,1996 Summer,NED
30,2000 Summer,NED
31,1936 Summer,EST
32,1912 Summer,NOR
33,1992 Summer,FIN
33,1996 Summer,FIN
34,2012 Summer,FRA
35,1998 Winter,NOR
36,1996 Summer,NED
36,2000 Summer,NED
37,1996 Summer,NOR
38,1920 Summer,NOR
39,1912 Summer,NOR
40,1952 Winter,NOR
40,1956 Winter,NOR
40,1960 Winter,NOR
41,1920 Summer,NOR
42,1912 Summer,NOR
43,1992 Summer,NOR
44,1998 Winter,EST
44,2002 Winter,EST
45,1936 Summer,NOR
46,1936 Summer,NOR
46,1948 Summer,NOR
46,1952 Summer,NOR
46,1956 Summer,NOR
46,1960 Summer,NOR
47,1920 Summer,NOR
47,1924 Summer,NOR
47,1928 Summer,NOR
48,2012 Summer,MAR
49,2004 Summer,EST
49,2008 Summer,EST
50,1992 Summer,EST
50,1996 Summer,EST
51,2016 Summer,ESP
52,1976 Summer,FRA
53,2000 Summer,EGY
54,1948 Summer,IRI
55,2016 Summer,ESP
56,1956 Summer,FRA
57,1988 Summer,BUL
58,1924 Summer,BUL
59,1956 Summer,BUL
59,1960 Summer,BUL
60,1960 Summer,BUL
61,1960 Summer,BUL
62,2016 Summer,ITA
63,2008 Summer,ESP
64,1992 Summer,CHA
65,2016 Summer,AZE
66,1972 Summer,SUD
67,2008 Summer,RUS
67,2012 Summer,RUS
68,2000 Summer,ARG
69,2008 Summer,ESP
70,2000 Summer,CUB
71,1992 Summer,CUB
72,2004 Summer,BLR
72,2008 Summer,BLR
73,2008 Summer,FRA
73,2012 Summer,FRA
73,2016 Summer,FRA
74,2012 Summer,ARG
75,2004 Summer,GRE
76,2000 Summer,CMR
77,1968 Summer,CMR
78,1996 Summer,TUR
79,1924 Summer,CHI
80,1996 Summer,ESP
81,2004 Summer,GRE
82,2000 Summer,MEX
83,1992 Summer,CHI
84,2004 Summer,USA
85,1976 Summer,ESP
85,1980 Summer,ESP
85,1984 Summer,ESP
86,1980 Summer,ESP
86,1984 Summer,ESP
87,1964 Summer,URS
88,1980 Summer,URS
89,1984 Summer,CHI
90,2004 Summer,RUS
91,2012 Summer,ITA
92,2008 Summer,ITA
93,2004 Summer,FRA
93,2008 Summer,FRA
94,1984 Summer,CHI
95,2004 Summer,GRE
96,2004 Summer,NCA
97,1976 Summer,NCA
98,1968 Summer,MEX
99,1992 Summer,HUN
100,1936 Summer,HUN
101,1972 Summer,NGR
102,1920 Summer,EGY
102,1928 Summer,EGY
103,1936 Summer,ITA
104,1972 Summer,CHA
105,2012 Summer,ALG
105,2016 Summer,ALG
106,1988 Summer,ITA
106,1996 Summer,ITA
106,2000 Summer,ITA
107,1984 Summer,ITA
107,1988 Summer,ITA
107,1992 Summer,ITA
107,1996 Summer,ITA
108,1980 Summer,ITA
108,1984 Summer,ITA
108,1988 Summer,ITA
108,1992 Summer,ITA
109,1976 Summer,KUW
109,1980 Summer,KUW
110,2016 Summer,BRN
111,1996 Summer,PAK
112,1964 Summer,IRQ
113,2004 Summer,IRQ
114,1980 Summer,KUW
115,1992 Summer,PAK
116,1960 Summer,UAR
116,1964 Summer,EGY
117,1988 Summer,LIB
118,2000 Summer,EGY
119,1952 Summer,EGY
120,2004 Summer,IRQ
121,2010 Winter,PAK
122,2004 Summer,QAT
123,2000 Summer,PAK
123,2004 Summer,PAK
123,2012 Summer,PAK
124,1952 Summer,EGY
125,1984 Summer,MAS
126,2014 Winter,IRI
127,2004 Summer,PAK
127,2008 Summer,PAK
127,2012 Summer,PAK
128,2012 Summer,IRI
129,2008 Summer,AZE
130,2008 Summer,AZE
131,2000 Summer,AZE
132,2012 Summer,ITA
133,1900 Summer,GER
134,2000 Summer,ITA
135,2016 Summer,NED
136,2000 Summer,ITA
137,1964 Winter,ITA
137,1968 Winter,ITA
138,2016 Summer,IRQ
139,1906 Summer,GRE
140,1996 Summer,CAN
140,2000 Summer,CAN
141,2016 Summer,IRL
142,1928 Summer,USA
143,2008 Summer,AUS
144,2008 Summer,RSA
145,2010 Winter,USA
145,2014 Winter,USA
146,1976 Summer,CAN
147,1996 Summer,CAN
148,2008 Summer,CAN
149,2016 Summer,USA
150,1900 Summer,USA
151,1900 Summer,USA
152,2000 Summer,CAN
153,2008 Summer,USA
154,2008 Summer,MAR
155,2000 Summer,EGY
155,2004 Summer,EGY
155,2012 Summer,EGY
156,2008 Summer,EGY
157,2004 Summer,EGY
157,2008 Summer,EGY
158,2008 Summer,EGY
159,2008 Summer,EGY
159,2012 Summer,EGY
160,2008 Summer,ERI
161,2016 Summer,EGY
162,1992 Summer,EGY
162,1996 Summer,EGY
163,1960 Summer,UAR
164,1992 Summer,EGY
165,2004 Summer,USA
166,1964 Summer,TAN
166,1972 Summer,TAN
167,1952 Summer,FRA
168,1972 Summer,KUW
169,1984 Summer,JOR
170,2016 Summer,EGY
171,2000 Summer,EGY
172,2000 Summer,EGY
173,1972 Summer,SUD
174,1960 Summer,UAR
175,1952 Summer,EGY
176,1960 Summer,UAR
177,2000 Summer,EGY
178,1960 Summer,SUD
178,1968 Summer,SUD
179,1972 Summer,SUD
180,2000 Summer,EGY
180,2004 Summer,EGY
181,2000 Summer,EGY
182,1992 Summer,EGY
183,1960 Summer,UAR
184,2004 Summer,EGY
185,1948 Summer,EGY
185,1952 Summer,EGY
186,1960 Summer,UAR
187,1976 Summer,EGY
188,1984 Summer,EGY
189,1968 Summer,SUD
190,1948 Summer,EGY
191,1992 Summer,EGY
192,1972 Summer,EGY
193,1948 Summer,EGY
193,1952 Summer,EGY
193,1960 Summer,UAR
194,1960 Summer,UAR
195,1952 Summer,EGY
195,1960 Summer,UAR
196,1976 Summer,TUN
197,1988 Summer,EGY
198,2008 Summer,EGY
199,1984 Summer,EGY
199,1988 Summer,EGY
200,1992 Summer,EGY
201,2004 Summer,EGY
202,1972 Summer,EGY
202,1976 Summer,EGY
203,2008 Summer,EGY
203,2016 Summer,EGY
204,1996 Summer,LBA
205,1964 Summer,EGY
206,1960 Summer,UAR
206,1964 Summer,EGY
207,1936 Summer,EGY
207,1948 Summer,EGY
207,1952 Summer,EGY
208,1952 Summer,EGY
209,1960 Summer,UAR
210,1984 Summer,EGY
211,1960 Summer,UAR
211,1964 Summer,EGY
212,2008 Summer,EGY
213,2008 Summer,EGY
213,2016 Summer,EGY
214,1992 Summer,EGY
215,2004 Summer,EGY
